,smiles,ESOL,group
0,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,training
1,Cc1occc1C(=O)Nc1ccccc1,-3.3,training
2,CC(C)=CCCC(C)=CC=O,-2.06,training
3,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,training
4,c1ccsc1,-1.33,training
5,c1ccc2scnc2c1,-1.5,training
6,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,training
7,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,training
8,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,training
10,O=C1CCCN1,1.07,training
11,Clc1ccc2ccccc2c1,-4.14,training
13,CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,training
15,CC(C)Cl,-1.41,training
16,CCC(C)CO,-0.47,training
17,N#Cc1ccccc1,-1.0,training
18,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,training
20,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,training
22,CCOP(=S)(OCC)SCSCC,-4.11,training
23,CCOc1ccc(NC(C)=O)cc1,-2.35,training
24,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,training
25,CCCCCCCO,-1.81,training
26,Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,training
27,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,training
28,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,training
29,CCCCCCCC(=O)OC,-3.17,training
30,CCc1ccc(CC)cc1,-3.75,training
31,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,training
32,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,training
33,C=C(Cl)Cl,-1.64,training
34,Cc1cccc2c1Cc1ccccc1-2,-5.22,training
35,CCCCC=O,-0.85,training
36,c1ccc(Nc2ccccc2)cc1,-3.5039999999999996,training
37,CN(C)C(=O)SCCCCOc1ccccc1,-3.927,training
40,Clc1cccc(-c2ccccc2)c1,-4.88,training
41,C=CCCCO,-0.15,training
42,O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655,training
45,CCCCCC(C)O,-1.55,training
46,CC(=O)Nc1ccc(Br)cc1,-3.083,training
47,Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127,training
48,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76,training
49,Cc1ccc2ccc(C)nc2c1,-1.94,training
50,C#CCCCCCC,-3.66,training
51,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,training
52,c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057,training
56,CC(C)CCC(C)(C)C,-5.05,training
58,Cc1cc2c3ccccc3ccc2c2ccccc12,-6.57,training
59,CCCC(C)=O,-0.19,training
60,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15,training
61,CCCOC(=O)CC,-0.82,training
62,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68,training
63,Nc1ccc(O)cc1,-0.8,training
65,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-5.931,training
66,CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06,training
67,NC(=O)c1cnccn1,-0.667,training
68,CCC(Br)(CC)C(=O)NC(N)=O,-2.68,training
71,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46,training
72,CC12CCC(CC1=O)C2(C)C,-1.96,training
73,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.369,training
74,CCCCC(=O)OCC,-2.25,training
75,CC(=O)OCCC(C)C,-1.92,training
76,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.886,training
77,Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,training
78,CCCBr,-1.73,training
