,smiles,Mutagenicity,group
0,O=[N+]([O-])c1cc(C(O)=Nc2cccc(Br)c2)cs1,1,training
2,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,1,training
4,Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,1,training
5,O=C(Cl)c1ccccc1[N+](=O)[O-],1,training
6,Nc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,1,training
9,O=[N+]([O-])c1ccc2ccc3c(O)ccc4c5ccccc5c1c2c34,1,training
10,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,1,training
11,O=c1oc2c([N+](=O)[O-])cccc2c2ccccc12,1,training
12,Cc1ccc(S(=O)(=O)OCc2ccc([N+](=O)[O-])cc2)cc1,1,training
14,[O-][N+]([O-])=C1CCCC1,1,training
15,COc1ccc(N(CCCl)CCCl)c2cc([N+](=O)[O-])oc12,1,training
16,O=[N+]([O-])c1cc2c3c(c1)CCc1cc([N+](=O)[O-])cc(c1-3)CC2,1,training
17,O=[N+]([O-])c1ccc2nc3ccccc3nc2c1,1,training
19,O=c1c(=O)c2ccc([N+](=O)[O-])c3ccc4cccc1c4c32,1,training
20,Nc1cccc([N+](=O)[O-])c1,1,training
21,O=[N+]([O-])c1cccc2c(Cl)nsc12,1,training
22,O=[N+]([O-])c1cc([N+](=O)[O-])c2cccc3c2c1-c1ccccc1-3,1,training
23,O=[N+]([O-])c1ccccc1SSC(Cl)=C(Cl)Cl,1,training
24,CN(C)CCCN=c1c2ccccc2[nH]c2c(Cl)ccc([N+](=O)[O-])c12,1,training
25,O=[N+]([O-])c1ccc2c(c1)CCN2,1,training
26,O=[N+]([O-])c1cc(C(O)=Nc2ccccc2F)cs1,1,training
27,Cn1c([N+](=O)[O-])cnc1C1NC(CO)(CO)CO1,1,training
29,O=C1N=C(O)CN1N=CC=Cc1ccc([N+](=O)[O-])o1,1,training
30,O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,1,training
