,Name,SMILES,Solubility
0,"(1,1-dimethylpropyl)benzene",CCC(C)(C)c1ccccc1,-4.5007459195
1,"(1,3-benzothiazol-2-ylsulfanyl)(tert-butyl)amine",CC(C)(C)NSc1sc2ccccc2n1,-5.25699701315
2,"(1,5,5-trimethyl-6-bicyclo[2.2.1]heptanyl) acetate",CC(=O)OC1C(C)(C)C2CCC1(C)C2,-3.8745968837
3,(1-ethoxy-1-oxopropan-2-yl) 5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoate,CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+]([O-])=O,-6.6230386723
4,(1-hydroxy-1-phosphonoethyl)phosphonic acid,OC=O,1.17268520455
5,"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate",CC(COCC(C)OC(=O)C=C)OCC(C)OC(=O)C=C,-1.8755690909
6,"(1-methylethyl)-1,1'-biphenyl",CC(C)c1ccc(cc1)c2ccccc2,-5.6567860392
7,(10Z)-1-oxacycloheptadec-10-en-2-one,O=C1CCCCCCC\C=C/CCCCCCO1,-5.6293975546
8,(13Z)-N-octadecyldocos-13-enamide,CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC\C=C/CCCCCCCC,-7.42142442085
9,(13Z)-docos-13-enamide,CCCCCCCC\C=C/CCCCCCCCCCCC(N)=O,-7.5943639656
10,"(1E)-1-(2,6,6-trimethylcyclohex-1-en-1-yl)pent-1-en-3-one; (1E)-1-(2,6,6-trimethylcyclohex-2-en-1-yl)pent-1-en-3-one; (3E)-3-methyl-4-(2,6,6-trimethylcyclohex-1-en-1-yl)but-3-en-2-one; (3E)-3-methyl-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-one",CCC(=O)/C=C/C1C(=CCCC1(C)C)C,-3.9923409786
11,"(1E,19E)-10,11-dioctylicosa-1,19-diene-1,20-diamine",CCCCCCCCCCCCCCCCCCCC\C=C\C\C=C\CCCCCCCCCCCNCCCCCCCCCCCCCCCCCCCC\C=C\C\C=C\CCCCCCCCCCC,-9.7071062552
12,"(1E,5E,9E)-cyclododeca-1,5,9-triene",C\1C\C=C/CC\C=C/CC/C=C1,-5.5641262584
13,(1R)-1-phenylethan-1-amine,CC(N)c1ccccc1,-0.4813817083
14,"(1R,2R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl acetate (1S,2S,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl acetate",CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,-3.0887781924
15,"(1R,2R,4S,5S,7S)-9-methyl-3-oxa-9-azatricyclo[3.3.1.0Â²,?]nonan-7-yl (2S)-3-hydroxy-2-phenylpropanoate",CN1[C@@H]2CC(C[C@H]1C3OC23)OC(=O)[C@H](CO)c4ccccc4,-1.0074478133
16,"(1R,2S,5R)-5-methyl-2-(propan-2-yl)cyclohexan-1-ol",CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,-2.599149908475
17,"(1R,2S,5R)-5-methyl-2-(propan-2-yl)cyclohexyl (2S)-2-hydroxypropanoate",CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,-2.9799872046
18,"(1R,2S,5R)-5-methyl-2-(propan-2-yl)cyclohexyl acetate",CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(C)=O,-3.9751165598
19,"(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1,-6.35158425565
20,"(1R-(1alpha,2beta,4beta,6alpha))-2,2,7-Trimethyl-3-oxatricyclo(4.1.1.02,4)octane",CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.5936884915
21,"(1S,10R,11S,14S,15S)-15-methyltetracyclo[8.7.0.0Â²,?.0Â¹Â¹,Â¹?]heptadeca-2,4,6-triene-5,14-diol",C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-5.2590967118
22,"(1S,2R,10R,11S,14R,15S)-14-ethynyl-14-hydroxy-15-methyltetracyclo[8.7.0.0Â²,?.0Â¹Â¹,Â¹?]heptadec-6-en-5-one",C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,-4.7266486308
23,"(1S,2R,10R,11S,14S,15S)-14-hydroxy-2,15-dimethyltetracyclo[8.7.0.0Â²,?.0Â¹Â¹,Â¹?]heptadec-6-en-5-one",C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,-5.0780248931
24,"(1S,2R,10R,11S,15S)-2,15-dimethyltetracyclo[8.7.0.0Â²,?.0Â¹Â¹,Â¹?]heptadec-6-ene-5,14-dione",C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O,-3.6374518234
25,"(1S,2R,10S,11S,14R,15S,17S)-14,17-dihydroxy-14-(2-hydroxyacetyl)-2,15-dimethyltetracyclo[8.7.0.0Â²,?.0Â¹Â¹,Â¹?]heptadeca-3,6-dien-5-one",C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,-3.2085401668
26,"(1S,2R,5S,10R,11S,15S)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0Â²,?.0Â¹Â¹,Â¹?]heptadec-7-en-14-one",C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,-3.9371360487
27,"(1S,2R,5S,10S,11S,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0Â²,?.0Â¹Â¹,Â¹?]heptadec-7-en-5-ol",CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-7.1044601558
28,"(1S,2R,8S,10S,11S,13R,14S,15S,17S)-8-fluoro-17-hydroxy-14-(2-hydroxyacetyl)-2,13,15-trimethyltetracyclo[8.7.0.0Â²,?.0Â¹Â¹,Â¹?]heptadeca-3,6-dien-5-one",C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,-3.267306872166667
29,"(1S,2S)-1-methyl-4-(propan-2-yl)-7-oxabicyclo[2.2.1]heptan-2-ol",CC(C)[C@@]12CC[C@@](C)(O1)[C@@H](O)C2,-0.288092629
30,"(1S,2S,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 2-methylprop-2-enoate",CC(=C)C(=O)OC1CC2CCC1(C)C2(C)C,-4.5778078487
31,"(1S,2S,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl prop-2-enoate",CC1(C)[C@H]2CC[C@]1(C)C(C2)OC(=O)C=C,-4.3025593098999995
32,"(1S,3R,5R,6S,8R,10R,11S,13R,15R,16S,18R,20R,21S,23R,25R,26S,28R,30R,31S,33R,35R,36S,38R,40R,41R,42R,43R,44R,45R,46R,47R,48R,49R,50R,51R,52R,53R,54R,55R,56R)-5,10,15,20,25,30,35,40-octakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34,37,39-hexadecaoxanonacyclo[36.2.2.2Â³,?.2?,Â¹Â¹.2Â¹Â³,Â¹?.2Â¹?,Â²Â¹.2Â²Â³,Â²?.2Â²?,Â³Â¹.2Â³Â³,Â³?]hexapentacontane-41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56-hexadecol",OCC1OC2OC3C(O)C(O)C(OC3CO)OC4C(O)C(O)C(OC4CO)OC5C(O)C(O)C(OC5CO)OC6C(O)C(O)C(OC6CO)OC7C(O)C(O)C(OC7CO)OC8C(O)C(O)C(OC8CO)OC9C(O)C(O)C(OC9CO)OC1C(O)C2O,-0.8574691214
33,"(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",CC1=CC[C@H]2C[C@@H]1C2(C)C,-4.7318576164333335
34,"(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane",CC1(C)C2CCC(=C)C1C2,-5.0724348219
35,"(1S-endo)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol",CC1(C)[C@@H]2CC[C@]1(C)[C@H](O)C2,-2.4205583952
36,"(1Z,5Z)-cycloocta-1,5-diene",C\1C\C=C/CC\C=C1,-2.9659771733
37,"(2,2,3-trimethylcyclopent-3-en-1-yl)acetonitrile",CC1=CCC(CC#N)C1(C)C,-2.6475372328
38,"(2,2-dimethoxyethyl)benzene",COC(Cc1ccccc1)OC,-1.6296186709
39,"(2,4,6-trimethylcyclohex-3-en-1-yl)methanol",CC1CC(=CC(C)C1CO)C,-2.3711973931
40,"(2,4,6-trioxo-1,3,5-triazine-1,3,5(2H,4H,6H)-triyl)tri-2,1-ethanediyl triacrylate",C=CC(=O)OCCN1C(=O)N(CCOC(=O)C=C)C(=O)N(CCOC(=O)C=C)C1=O,-2.4514194624
41,"(2,4-dichlorophenyl)acetic acid",OC(=O)Cc1ccc(Cl)cc1Cl,-2.8729327086
42,"(2,4-dimethylcyclohex-3-en-1-yl)methyl acetate",CC1C=C(C)CCC1COC(C)=O,-3.2503985577
43,"(2,5-dioxoimidazolidin-4-yl)urea",NC(=O)NC1NC(=O)NC1=O,-1.5087824857
44,(2-aminoethyl)({2-[(2-aminoethyl)amino]ethyl})amine; tris(2-aminoethyl)amine,NCCNCCNCCN,0.5339097655
45,(2-aminoethyl)[2-({2-[(2-aminoethyl)amino]ethyl}amino)ethyl]amine; bis(2-aminoethyl)({2-[(2-aminoethyl)amino]ethyl})amine,NCCNCCNCCNCCN,0.4218033312
46,(2-methoxy-5-nitrophenyl) acetate,COc1ccc(cc1OC(C)=O)[N+]([O-])=O,-2.9466040673
47,"(2-methyl-1-oxo-1-prop-2-enoxypropan-2-yl) 2-chloro-5-[3-methyl-2,6-dioxo-4-(trifluoromethyl)pyrimidin-1-yl]benzoate",CN1C(=O)N(C(=O)C=C1C(F)(F)F)c2ccc(Cl)c(c2)C(=O)OC(C)(C)C(=O)OCC=C,-4.676528089
48,(2-methyldodecyl)(tridecyl)amine; ditridecylamine,CCCCCCCCCCCCCNCCCCCCCCCCCCC,-5.6442290737
49,(2-phenoxyethoxy)benzene,C(COc1ccccc1)Oc2ccccc2,-3.9885265275
50,"(2-phenylbutan-2-yl)benzene; (2-phenylethyl)benzene; 1,2,4,5-tetraethylbenzene; 1-methyl-2-phenylbenzene; 1-methylnaphthalene; benzene; cyclohexylbenzene; ethenylbenzene; ethylbenzene; phenylbenzene; toluene",CCc1ccccc1,-4.695598765950001
51,"(2E)-1-(2,6,6-trimethylcyclohex-1-en-1-yl)but-2-en-1-one",CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O,-3.0592783722
52,"(2E)-1-(2,6,6-trimethylcyclohex-2-en-1-yl)but-2-en-1-one",C/C=C/C(=O)C1C(=CCCC1(C)C)C,-3.1378557654
53,"(2E)-1-(2,6,6-trimethylcyclohex-3-en-1-yl)but-2-en-1-one",C/C=C/C(=O)C1C(C)C=CCC1(C)C,-3.3963665007
54,"(2E)-1-(2,6,6-trimethylcyclohexa-1,3-dien-1-yl)but-2-en-1-one",C/C=C/C(=O)C1=C(C)C=CCC1(C)C,-3.0052489876
55,(2E)-2-(phenylmethylidene)heptanal,CCCCC/C(C=O)=C/c1ccccc1,-3.0466584175
56,(2E)-2-methyl-3-phenylprop-2-enal,C/C(C=O)=C/c1ccccc1,-2.4747186153
57,(2E)-2-methylpent-2-enal,CC\C=C(/C)C=O,-1.0573697281
58,"(2E)-3,7-dimethylocta-2,6-dien-1-ol",CC(C)=CCC\C(C)=C/CO,-2.3003679887999997
59,"(2E)-3,7-dimethylocta-2,6-dien-1-ol",CC(C)=CCC\C(C)=C\CO,-2.77007156135
60,"(2E)-3,7-dimethylocta-2,6-dien-1-yl acetate",CC(=O)OC/C=C(C)/CCC=C(C)C,-3.8305001771
61,"(2E)-3,7-dimethylocta-2,6-dien-1-yl acetate",CC(=O)OC\C=C(C)/CCC=C(C)C,-3.7549608131
62,"(2E)-3,7-dimethylocta-2,6-dien-1-yl formate",CC(C)=CCC\C(C)=C\COC=O,-3.7461507617
63,"(2E)-3,7-dimethylocta-2,6-dienal",CC(C)=CCC\C(C)=C\C=O,-2.4854695661
