,Name,smiles,aqsoldb_A
270,"1,2,3,4-tetrahydronaphthalene",C1CCc2ccccc2C1,-3.4834893671000002
544,1-bromopropane,CCCBr,-1.71149064212
1239,"2-methylbenzene-1,3-diol",Cc1c(O)cccc1O,0.1927727267
554,1-chloro-2-[(2-chloroethoxy)methoxy]ethane,ClCCOCOCCCl,-1.2981258416
2325,"benzene-1,4-diamine",Nc1ccc(N)cc1,-0.5225821237
332,"1,3,5-tris(4-tert-butyl-3-hydroxy-2,6-dimethylbenzyl)-1,3,5-triazinane-2,4,6-trione",Cc1cc(c(O)c(C)c1CN2C(=O)N(Cc3c(C)cc(c(O)c3C)C(C)(C)C)C(=O)N(Cc4c(C)cc(c(O)c4C)C(C)(C)C)C2=O)C(C)(C)C,-7.5440264742
1228,"2-methyl-4-(2,2,3-trimethylcyclopent-3-en-1-yl)butan-1-ol",CC(CO)CCC1CC=C(C)C1(C)C,-3.8427464064
2357,"bis(2,4-dichloro-5-nitrophenyl) carbonate",[O-][N+](=O)c1cc(OC(=O)Oc2cc(c(Cl)cc2Cl)[N+]([O-])=O)c(Cl)cc1Cl,-6.8129074612
423,"1,4-dimethyl cyclohexane-1,4-dicarboxylate",COC(=O)C1CCC(CC1)C(=O)OC,-1.3871946661
2776,methyl non-2-ynoate,CCCCCCC#CC(=O)OC,-3.6518876662
2383,bis(trimethyl(tetradecyl)azanium) oxalate,CCCCCCCCCCCCCC[N+](C)(C)C,-1.55001931445
2711,methane,C,-2.53440259125
246,"1,1,2-trifluoro-2-(pentafluoroethoxy)ethene",FC(F)=C(F)OC(F)(F)C(F)(F)F,-4.9542967929
2408,"butyl 2-[(E)-2-{2-hydroxy-3-[(2-oxo-2,3-dihydro-1H-1,3-benzodiazol-5-yl)carbamoyl]naphthalen-1-yl}diazen-1-yl]benzoate",CCCCOC(=O)c1ccccc1N\N=C2/C(=O)C(=Cc3ccccc23)C(=O)Nc4ccc5NC(=O)Nc5c4,-8.2138073561
535,1-aminoguanidine; carbonic acid,NN=C(N)N,-1.5842773219666668
1771,"4-chloro-2,5-dimethoxyaniline",COc1cc(Cl)c(OC)cc1N,-3.0061212915
594,1-methoxyhexane,CCCCCCOC,-2.2450853258
63,"(2E)-3,7-dimethylocta-2,6-dienal",CC(C)=CCC\C(C)=C\C=O,-2.4854695661
192,"(Z)-N-(3-aminopropyl)-N'-[3-(9-octadecenylamino)propyl]propane-1,3-diamine",CCCCCCCC/C=C/CCCCCCCCNCCCNCCCNCCCN,-3.8360757577
761,"2,3-dihydroxypropyl dodecanoate",CCCCCCCCCCCC(=O)OCC(O)CO,-5.4383856897
1745,4-[9-(4-amino-3-chlorophenyl)-9H-fluoren-9-yl]-2-chloroaniline,Nc1ccc(cc1Cl)C2(c3ccc(N)c(Cl)c3)c4ccccc4c5ccccc25,-6.9044856274
